index,study,study_type,gb,boot10,jack10,boot100,jack100,boot1000,jack1000,rep,rep100
11,M21596,phylogenetic,2,100,100,88,90,84,87,0.007843137255,0.7843137255
11,M21596,phylogenetic,5,100,100,100,100,99,99,0.01960784314,1.960784314
11,M21596,phylogenetic,4,90,100,96,96,95,97,0.01568627451,1.568627451
11,M21596,phylogenetic,51,100,100,100,100,100,100,0.2,20
11,M21596,phylogenetic,14,100,100,96,100,96,99,0.05490196078,5.490196078
11,M21596,phylogenetic,54,100,100,100,100,100,100,0.2117647059,21.17647059
11,M21596,phylogenetic,7,100,100,100,100,100,99,0.02745098039,2.745098039
11,M21596,phylogenetic,3,100,90,96,97,95,92,0.01176470588,1.176470588
11,M21596,phylogenetic,12,100,100,100,100,99,100,0.04705882353,4.705882353
11,M21596,phylogenetic,17,100,100,100,100,100,100,0.06666666667,6.666666667
11,M21596,phylogenetic,33,100,100,100,100,100,100,0.1294117647,12.94117647
11,M21596,phylogenetic,255,100,100,100,100,100,100,1,100
11,M21596,phylogenetic,0,100,100,100,100,100,100,0,0
12,M21599,phylogenetic,2,100,100,87,92,85,87,0.1333333333,13.33333333
12,M21599,phylogenetic,1,60,60,55,67,62,65,0.06666666667,6.666666667
12,M21599,phylogenetic,4,100,100,99,99,98,98,0.2666666667,26.66666667
12,M21599,phylogenetic,8,100,100,100,99,99,99,0.5333333333,53.33333333
12,M21599,phylogenetic,10,80,100,95,100,97,99,0.6666666667,66.66666667
12,M21599,phylogenetic,4,60,100,78,85,71,86,0.2666666667,26.66666667
12,M21599,phylogenetic,1,70,40,43,44,40,40,0.06666666667,6.666666667
12,M21599,phylogenetic,1,70,40,43,43,40,40,0.06666666667,6.666666667
12,M21599,phylogenetic,4,100,100,98,97,97,98,0.2666666667,26.66666667
12,M21599,phylogenetic,3,90,90,79,90,85,87,0.2,20
12,M21599,phylogenetic,3,100,100,86,89,86,90,0.2,20
12,M21599,phylogenetic,3,80,100,86,90,90,95,0.2,20
12,M21599,phylogenetic,2,80,90,71,74,63,76,0.1333333333,13.33333333
12,M21599,phylogenetic,4,90,100,75,90,74,88,0.2666666667,26.66666667
12,M21599,phylogenetic,7,90,100,96,99,95,99,0.4666666667,46.66666667
12,M21599,phylogenetic,9,100,100,98,98,96,99,0.6,60
12,M21599,phylogenetic,3,80,60,56,56,59,71,0.2,20
12,M21599,phylogenetic,5,100,100,90,95,85,92,0.3333333333,33.33333333
12,M21599,phylogenetic,2,60,20,49,61,53,64,0.1333333333,13.33333333
12,M21599,phylogenetic,5,60,80,47,66,59,71,0.3333333333,33.33333333
12,M21599,phylogenetic,15,100,100,100,99,99,99,1,100
12,M21599,phylogenetic,2,10,50,15,33,14,21,0.1333333333,13.33333333
12,M21599,phylogenetic,2,20,50,22,32,16,25,0.1333333333,13.33333333
12,M21599,phylogenetic,6,80,100,95,97,94,98,0.4,40
12,M21599,phylogenetic,0,100,100,100,100,100,100,0,0
13,M21602,phylogenetic,6,100,100,100,100,99,99,0.24,24
